,postalCode,income
0,89102,45141.755485893416
1,89103,43063.173277661794
2,89104,32598.062015503878
3,89107,53380.55878928987
4,89108,35997.75742261529
5,89109,194343.6974789916
6,89110,36960.54286660046
7,89113,79471.69329073482
8,89117,80118.18506609504
9,89118,55365.86306653809
10,89120,65204.24610051992
11,89121,37069.06937394247
12,89122,38132.015470562954
13,89123,59703.93419170243
14,89128,53931.71283210854
15,89129,64059.57532051282
16,89130,57122.79825109307
17,89131,82271.24060150376
18,89134,151006.11928737414
19,89135,189474.16370106762
20,89138,132639.47750362847
21,89139,56762.62278978389
22,89141,101665.45579163812
23,89142,36955.64102564103
24,89143,64845.259391771026
25,89144,129828.10383747179
26,89145,137640.74074074073
27,89146,49601.65745856354
28,89147,49809.89838163342
29,89148,68865.32803180914
30,89149,80281.57015590201
31,89156,36706.030150753766
32,89166,66681.87435633368
33,89169,49637.1875
34,89178,65394.305636257996
35,89179,68393.82716049383
36,89183,53456.65529010239
